IndexName,IndexValue,IndexChangeValue,IndexChangePercentage
Bitcoin (BTC / USD),"42,439.50",-108.50,0.26%
Ether (ETH / USD),"2,275.71",-5.89,0.26%
Cardano (ADA / USD),0.4897,-0.0080,1.62%
Binance Coin (BNB / USD),299.6149,-0.7123,0.24%
Tether (USDT / USD),0.9997,+0.00062,0.062%
XRP (XRP / USD),0.5003,-0.0028,0.56%
Dogecoin (DOGE / USD),0.0789,+0.00027,0.34%
ChainLink (LINK / USD),16.6105,+1.2131,7.88%
Litecoin (LTC / USD),66.51,-0.22,0.33%
Bitcoin Cash (BCH / USD),234.82,+0.75,0.32%
Lumens (XLM / USD),0.1090,-0.00063,0.58%
TRON (TRX / USD),0.1154,+0.0032,2.84%
Ethereum Classic (ETC / USD),24.1746,-0.1706,0.70%
Monero (XMR / USD),166.8875,+3.2895,2.01%
EOS (EOS / USD),0.6928,+0.0033,0.48%
NEO (NEO / USD),11.0204,+0.1996,1.84%
Waves (WAVES / USD),4.0923,+0.0046,0.11%
Dash (DASH / USD),26.9223,+0.3002,1.13%
OmiseGO (OMG / USD),0.6323,+0.0044,0.70%
Decred (DCR / USD),15.6185,-0.1785,1.13%
NEM (XEM / USD),0.0353,-0.00035,0.98%
Decentraland (MANA / USD),0.4299,-0.0015,0.35%
ICON (ICX / USD),0.2133,-0.0033,1.52%
Qtum (QTUM / USD),2.8210,-0.0027,0.095%
Zilliqa (ZIL / USD),0.0202,+0.00039,2.00%
Basic Attention Token (BAT / USD),0.2200,+0.0019,0.88%
Bitgem (BTG / USD),21.4272,-0.4607,2.11%
Bancor (BNT / USD),0.6925,+0.0030,0.44%
0x (ZRX / USD),0.3164,-0.00060,0.19%
Siacoin (SC / USD),0.0086,+0.00016,1.86%
Ontology (ONT / USD),0.2257,-0.00080,0.36%
DigiByte (DGB / USD),0.0074,-0.000011,0.15%
Nano (NANO / USD),5.0549,-0.0078,0.15%
Lisk (LSK / USD),1.3140,-0.0424,3.13%
Gnosis (GNO / USD),211.7705,-0.1026,0.048%
Verge (XVG / USD),0.0031,+0.000038,1.22%
Ardor (ARDR / USD),0.0837,-0.00085,1.00%
Status (SNT / USD),0.0381,-0.000014,0.037%
MaidSafeCoin (MAID / USD),0.2812,+0.0242,9.40%
Augur (REP / USD),1.1907,+0.3236,37.31%
Ark (ARK / USD),0.8581,-0.0172,1.96%
FunFair (FUN / USD),0.0054,-0.000012,0.23%
Steem (STEEM / USD),0.2592,-0.0015,0.58%
Syscoin (SYS / USD),0.1178,-0.00018,0.15%
Wanchain (WAN / USD),0.2114,+0.0023,1.09%
BitShares (BTS / USD),0.0037,-0.000091,2.42%
Komodo (KMD / USD),0.2424,+0.00079,0.33%
MonaCoin (MONA / USD),0.3487,-0.0064,1.80%
Gas (GAS / USD),5.7835,-0.0603,1.03%
ReddCoin (RDD / USD),0.000042,-0.0000,0.90%
Bytom (BTM / USD),0.0082,+0.000030,0.37%
Waltonchain (WTC / USD),0.0132,-0.00023,1.69%
Aion (AION / USD),0.0019,+0.000015,0.79%
Groestlcoin (GRS / USD),0.4881,-0.0020,0.42%
Bytecoin (BCN / USD),0.00030,-0.0000,0.15%
Veritaseum (VERI / USD),20.4098,-0.0286,0.14%
DigixDAO (DGD / USD),255.1451,-0.3802,0.15%
PIVX (PIVX / USD),0.3017,+0.0038,1.28%
Nexus (NXS / USD),0.0669,+0.000029,0.043%
Populous (PPT / USD),0.0248,-0.0012,4.52%
QASH (QASH / USD),0.0273,+0.00089,3.38%
Neblio (NEBL / USD),0.2042,-0.0031,1.52%
SALT (SALT / USD),0.0415,-0.000052,0.12%
GameCredits (GAME / USD),0.0077,-0.000011,0.15%
Factom (FCT / USD),1.1371,-0.0017,0.15%
Nxt (NXT / USD),0.0011,-0.000013,1.08%
TenX (PAY / USD),0.0079,-0.00048,5.75%
DigitalNote (XDN / USD),0.000043,+0.0000,0.029%
Substratum (SUB / USD),0.00017,-0.0000,0.13%
KingN Coin (KNC / USD),0.5754,-0.0043,0.74%
Golem (GNT / USD),0.6629,-0.0042,0.62%
Request Network (REQ / USD),0.0823,+0.00073,0.89%
Voyager Tokens (VGX / USD),2.4370,-0.0106,0.43%
Time New Bank (TNB / USD),0.0050,+0.000021,0.43%
ZClassic (ZCL / USD),0.1601,-0.00028,0.17%
Hshare (HSR / USD),0.2977,-0.0033,1.09%
iCoin (ICN / USD),2.1927,-0.0164,0.74%
Powerledger (POWR / USD),0.3085,+0.0066,2.17%
Enigma (ENG / USD),0.00051,-0.0000049,0.95%
Santiment Network Token (SAN / USD),0.1654,-0.00023,0.14%
aelf (ELF / USD),0.5431,-0.0149,2.67%
Stratis (STRAT / USD),0.0593,-0.000083,0.14%
Quantstamp (QSP / USD),0.0253,-0.00017,0.68%
Raiden Network Token (RDN / USD),0.1875,-0.00031,0.17%
