Name,Current price,Change(%),Open,High,Low,Volume
PLUG POWER INC.,4.7,5.62,4.98,5.14,4.42,97902697
TESLA INC.,188.86,0.84,188.5,189.88,184.28,90671796
CANOO INC.,0.1828,110.48,0.21,0.2219,0.177,83980575
NIKOLA CORP.,0.7298,12.34,0.773,0.783,0.7005,83307301
PHUNWARE INC.,0.3391,5.9,0.3481,0.3637,0.325,81762448
ADVANCED MICRO DEVICES INC.,170.48,1.66,169.27,171.14,165.86,78452596
PELOTON INTERACTIVE INC.,4.21,124.28,5.23,5.28,4.17,77246023
SOFI TECHNOLOGIES INC.,7.73,11.28,7.93,7.96,7.57,70950979
MARATHON DIGITAL HLD.,18.6,4.91,17.76,18.87,17.14,59272792
ROCKET LAB USA INC.,4.02,117.11,4.19,4.29,3.89,57625321
NEUROBO PHARMACEUTICALS INC.,5.47,67.28,3.96,5.98,3.96,54638833
KIORA PHARMACEUTICALS INC.,0.85,53.87,0.7568,0.998,0.615,50808428
AMAZON.COM INC.,159.67,2.88,155.87,159.76,155.62,44715640
WARNER BROS. DISCOVERY,10.46,4.39,10.06,10.51,10.05,41840687
LUCID GROUP INC.,3.42,1.18,3.52,3.64,3.21,40863359
APPLE INC.,186.86,1.33,183.99,186.95,183.82,39598883
AMERICAN AIRLINES GROUP INC.,14.34,0.77,14.35,14.4,13.87,36789343
INTEL CORP.,43.36,0.65,43.15,43.57,42.49,32600326
HUNTINGTON BANCSHARES INC.,12.46,12.12,12.74,12.81,12.07,28980038
TILRAY BRANDS INC.,1.96,7.1,1.84,2.01,1.84,27883344
NVIDIA CORP.,630.27,2.44,621.0,631.91,616.5,27059841
CLEANSPARK INC.,8.36,3.85,8.1,8.52,7.68,26675520
ALPHABET INC. CLASS A,141.16,0.76,142.12,143.06,140.79,26663900
MINIM INC.,5.03,22.68,6.71,7.72,4.83,25742401
FUELCELL ENERGY INC.,1.31,9.17,1.25,1.39,1.24,25268567
RIVIAN AUTOMOTIVE INC.,15.53,1.44,15.54,15.76,14.97,21918822
BITFARMS LTD.,2.31,10.86,2.27,2.38,2.19,21074499
MIRATI THERAPEUTICS INC.,58.7,0.0,58.86,58.99,58.54,20994430
ERICSSON ADS,5.49,10.36,5.47,5.53,5.45,20718143
MICROSOFT CORP.,403.78,1.56,401.83,408.0,401.8,20428151
SUNPOWER CORP.,3.7,22.11,3.25,3.86,3.21,20408891
TUSIMPLE HOLDINGS INC.,0.2752,19.44,0.2352,0.3475,0.2352,18408129
FLEX,25.04,5.48,24.85,25.96,24.37,18165505
CONNEXA SPORTS TECHNOLOGIES,0.4,0.0,0.3895,0.4512,0.3165,18022019
JETBLUE AIRWAYS,5.58,5.08,5.38,5.61,5.22,17613985
CISCO SYSTEMS INC.,50.18,0.0,50.23,50.46,49.82,17309223
CANAAN INC. ADS,1.38,13.5,1.46,1.46,1.32,17119547
AGNC INVESTMENT,9.67,2.0,9.56,9.7,9.34,17019113
NEXTRACKER INC.,56.5,24.81,51.93,56.66,51.64,16937786
RIOT PLATFORMS INC.,11.31,3.76,10.9,11.44,10.56,16629185
SUNRUN INC.,14.9,2.9,15.2,15.94,14.19,16583745
ALPHABET INC. CLASS C,142.72,0.65,143.69,144.62,142.26,16299717
