Symbol,Name,Price (Intraday),Change,% Change,Market Cap,Volume in Currency (Since 0:00 UTC),Volume in Currency (24Hr),Total Volume All Currencies (24Hr),Circulating Supply,52 Week Range,Day Chart
ROSE-USD,Oasis Network USD,0.101000,+0.001100,+1.069800%,678.299M,35.225M,35.225M,35.225M,6.714B,,
BONK-USD,Bonk USD,0.000011,-0.000000,-2.16%,675.43M,80.204M,80.204M,80.204M,63.334T,,
KLAY-USD,Klaytn USD,0.192257,-0.001371,-0.71%,670.373M,14.957M,14.957M,14.957M,3.487B,,
PYTH-USD,Pyth Network USD,0.440706,+0.029847,+7.26%,661.054M,83.307M,83.307M,83.307M,1.5B,,
FTT-USD,FTX Token USD,1.9689,-0.6668,-25.30%,647.566M,212.17M,212.17M,212.17M,328.895M,,
FRAX-USD,Frax USD,0.997532,-0.000814,-0.08%,647.86M,11.649M,11.649M,11.649M,649.462M,,
AKT-USD,Akash Network USD,2.7667,-0.0535,-1.90%,627.162M,4.395M,4.395M,4.395M,226.681M,,
PENDLE-USD,Pendle USD,2.6230,-0.0193,-0.73%,624.761M,62.139M,62.139M,62.139M,238.186M,,
WOO-USD,WOO USD,0.341311,-0.008285,-2.37%,622.271M,15.886M,15.886M,15.886M,1.823B,,
CAKE-USD,PancakeSwap USD,2.4622,-0.0414,-1.66%,610.438M,60.487M,60.487M,60.487M,247.924M,,
GALA-USD,Gala USD,0.021573,-0.000566,-2.56%,599.713M,43.433M,43.433M,43.433M,27.8B,,
VBNB-USD,Venus BNB USD,7.0797,-0.0436,-0.61%,597.01M,360.223M,360.223M,360.223M,84.327M,,
XDC-USD,XDC Network USD,0.043048,-0.000641,-1.47%,598.165M,24.564M,24.564M,24.564M,13.895B,,
XEC-USD,eCash USD,0.000030,-0.000001,-2.33%,584.201M,5.045M,5.045M,5.045M,19.623T,,
RPL-USD,Rocket Pool USD,28.61,-0.66,-2.26%,574.14M,4.751M,4.751M,4.751M,20.066M,,
APE18876-USD,ApeCoin USD,1.5055,+0.1177,+8.48%,554.928M,101.179M,101.179M,101.179M,368.594M,,
AR-USD,Arweave USD,8.4218,-0.1225,-1.43%,551.244M,15.138M,15.138M,15.138M,65.454M,,
GNO-USD,Gnosis USD,211.83,-8.58,-3.89%,548.558M,8.795M,8.795M,8.795M,2.59M,,
LUNC-USD,Terra Classic USD,0.000094,-0.000001,-1.44%,545.171M,26.857M,26.857M,26.857M,5.783T,,
ENS-USD,Ethereum Name Service USD,17.56,-0.82,-4.45%,539.987M,55.45M,55.45M,55.45M,30.744M,,
XAUT-USD,Tether Gold USD,"2,047.50",-1.15,-0.06%,504.758M,4.399M,4.399M,4.399M,"246,524",,
AXL17799-USD,Axelar USD,0.905284,-0.024665,-2.65%,500.771M,3.955M,3.955M,3.955M,553.165M,,
SC-USD,Siacoin USD,0.008721,+0.000258,+3.04%,490.664M,31.267M,31.267M,31.267M,56.26B,,
NEXO-USD,Nexo USD,0.880009,-0.002350,-0.27%,492.805M,3.196M,3.196M,3.196M,560M,,
CRV-USD,Curve DAO Token USD,0.447057,-0.013831,-3.00%,490.562M,54.609M,54.609M,54.609M,1.097B,,
RLB-USD,Rollbit Coin USD,0.144319,+0.003508,+2.49%,475.814M,4.299M,4.299M,4.299M,3.297B,,
FET-USD,Fetch.ai USD,0.571707,-0.003574,-0.62%,475.521M,41.998M,41.998M,41.998M,831.756M,,
CBETH-USD,Coinbase Wrapped Staked ETH USD,"2,415.09",-21.37,-0.88%,472.564M,9.271M,9.271M,9.271M,"195,671",,
GT-USD,GateToken USD,4.7658,-0.0085,-0.18%,472.494M,1.322M,1.322M,1.322M,99.143M,,
FTN-USD,Fasttoken USD,1.4976,+0.0097,+0.65%,456.543M,11.93M,11.93M,11.93M,304.85M,,
TWT-USD,Trust Wallet Token USD,1.0861,+0.0082,+0.76%,452.504M,17.423M,17.423M,17.423M,416.65M,,
